Date and Time: 09-Aug-2024 16:39:11
---------------------------------
N254; 5.727557; 4.906923; 0.979917; 
N255; 5.750241; 4.926357; 0.983797; 
N256; 5.772925; 4.945790; 0.987678; 
N257; 5.795609; 4.965224; 0.991559; 
N258; 5.818293; 4.984658; 0.995440; 
N259; 5.840977; 5.004092; 0.999321; 
N260; 5.863661; 5.023526; 1.003202; 
N261; 5.886344; 5.042959; 1.007083; 
N262; 5.909028; 5.062393; 1.010964; 
N263; 5.931712; 5.081827; 1.014845; 
N264; 5.954396; 5.101261; 1.018726; 
N265; 5.977080; 5.120695; 1.022607; 
N266; 5.999764; 5.140129; 1.026488; 
N267; 6.022448; 5.159562; 1.030369; 
N268; 6.045132; 5.178996; 1.034250; 
N269; 6.067816; 5.198430; 1.038131; 
N270; 6.090500; 5.217864; 1.042012; 
N271; 6.113184; 5.237298; 1.045893; 
N272; 6.135868; 5.256732; 1.049774; 
N273; 6.158552; 5.276165; 1.053655; 
N274; 6.181236; 5.295599; 1.057536; 
N275; 6.203920; 5.315033; 1.061416; 
N276; 6.226603; 5.334467; 1.065297; 
N277; 6.249287; 5.353901; 1.069178; 
N278; 6.271971; 5.373334; 1.073059; 
N279; 6.294655; 5.392768; 1.076940; 
N280; 6.317339; 5.412202; 1.080821; 
N281; 6.340023; 5.431636; 1.084702; 
N282; 6.362707; 5.451070; 1.088583; 
N283; 6.385391; 5.470504; 1.092464; 
N284; 6.408075; 5.489937; 1.096345; 
N285; 6.430759; 5.509371; 1.100226; 
N286; 6.453443; 5.528805; 1.104107; 
N287; 6.476127; 5.548239; 1.107988; 
N288; 6.498811; 5.567673; 1.111869; 
N289; 6.521495; 5.587106; 1.115750; 
N290; 6.544179; 5.606540; 1.119631; 
N291; 6.566863; 5.625974; 1.123512; 
N292; 6.589546; 5.645408; 1.127393; 
N293; 6.612230; 5.664842; 1.131274; 
N294; 6.634914; 5.684276; 1.135155; 
N295; 6.657598; 5.703709; 1.139035; 
N296; 6.680282; 5.723143; 1.142916; 
N297; 6.702966; 5.742577; 1.146797; 
N298; 6.725650; 5.762011; 1.150678; 
N299; 6.748334; 5.781445; 1.154559; 
N300; 6.771018; 5.800879; 1.158440; 
N301; 6.793702; 5.820312; 1.162321; 
N302; 6.816386; 5.839746; 1.166202; 
N303; 6.839070; 5.859180; 1.170083; 
N304; 6.861754; 5.878614; 1.173964; 
N305; 6.884438; 5.898048; 1.177845; 
N306; 6.907122; 5.917481; 1.181726; 
N307; 6.929806; 5.936915; 1.185607; 
N308; 6.952489; 5.956349; 1.189488; 
N309; 6.975173; 5.975783; 1.193369; 
N310; 6.997857; 5.995217; 1.197250; 
N311; 7.020541; 6.014651; 1.201131; 
N312; 7.043225; 6.034084; 1.205012; 
N313; 7.065909; 6.053518; 1.208893; 
N314; 7.088593; 6.072952; 1.212774; 
N315; 7.111277; 6.092386; 1.216654; 
N316; 7.133961; 6.111820; 1.220535; 
N317; 7.156645; 6.131254; 1.224416; 
N318; 7.179329; 6.150687; 1.228297; 
N319; 7.202013; 6.170121; 1.232178; 
N320; 7.224697; 6.189555; 1.236059; 
N321; 7.247381; 6.208989; 1.239940; 
N322; 7.270065; 6.228423; 1.243821; 
N323; 7.292749; 6.247856; 1.247702; 
N324; 7.315432; 6.267290; 1.251583; 
N325; 7.338116; 6.286724; 1.255464; 
N326; 7.360800; 6.306158; 1.259345; 
N327; 7.383484; 6.325592; 1.263226; 
N328; 7.406168; 6.345026; 1.267107; 
N329; 7.428852; 6.364459; 1.270988; 
N330; 7.451536; 6.383893; 1.274869; 
N331; 7.474220; 6.403327; 1.278750; 
N332; 7.496904; 6.422761; 1.282631; 
N333; 7.519588; 6.442195; 1.286512; 
N334; 7.542272; 6.461628; 1.290393; 
N335; 7.564956; 6.481062; 1.294273; 
N336; 7.587640; 6.500496; 1.298154; 
N337; 7.610324; 6.519930; 1.302035; 
N338; 7.633008; 6.539364; 1.305916; 
N339; 7.655692; 6.558798; 1.309797; 
N340; 7.678375; 6.578231; 1.313678; 
N341; 7.701059; 6.597665; 1.317559; 
N342; 7.723743; 6.617099; 1.321440; 
N343; 7.746427; 6.636533; 1.325321; 
N344; 7.769111; 6.655967; 1.329202; 
N345; 7.794528; 6.677742; 1.333551; 
N346; 7.803000; 6.685000; 1.335000; 
N347; 7.803000; 6.685000; 1.335000; 
N348; 7.805840; 6.679593; 1.344448; 
N349; 7.814361; 6.663372; 1.372791; 
N350; 7.821989; 6.648850; 1.398166; 
N351; 7.829617; 6.634328; 1.423540; 
N352; 7.837245; 6.619806; 1.448915; 
N353; 7.844873; 6.605284; 1.474290; 
N354; 7.852501; 6.590761; 1.499664; 
N355; 7.860129; 6.576239; 1.525039; 
N356; 7.867757; 6.561717; 1.550414; 
N357; 7.875385; 6.547195; 1.575789; 
N358; 7.883013; 6.532673; 1.601163; 
N359; 7.890640; 6.518151; 1.626538; 
N360; 7.898268; 6.503629; 1.651913; 
N361; 7.905896; 6.489107; 1.677287; 
N362; 7.913524; 6.474585; 1.702662; 
N363; 7.921152; 6.460063; 1.728037; 
N364; 7.928780; 6.445541; 1.753411; 
N365; 7.936408; 6.431018; 1.778786; 
N366; 7.944036; 6.416496; 1.804161; 
N367; 7.951664; 6.401974; 1.829535; 
N368; 7.959292; 6.387452; 1.854910; 
N369; 7.966920; 6.372930; 1.880285; 
N370; 7.974548; 6.358408; 1.905659; 
N371; 7.982176; 6.343886; 1.931034; 
