Date and Time: 09-Aug-2024 16:55:09
---------------------------------
N325 X7.338116 Y6.286724 Z1.255464
N326 X7.360800 Y6.306158 Z1.259345
N327 X7.383484 Y6.325592 Z1.263226
N328 X7.406168 Y6.345026 Z1.267107
N329 X7.428852 Y6.364459 Z1.270988
N330 X7.451536 Y6.383893 Z1.274869
N331 X7.474220 Y6.403327 Z1.278750
N332 X7.496904 Y6.422761 Z1.282631
N333 X7.519588 Y6.442195 Z1.286512
N334 X7.542272 Y6.461628 Z1.290393
N335 X7.564956 Y6.481062 Z1.294273
N336 X7.587640 Y6.500496 Z1.298154
N337 X7.610324 Y6.519930 Z1.302035
N338 X7.633008 Y6.539364 Z1.305916
N339 X7.655692 Y6.558798 Z1.309797
N340 X7.678375 Y6.578231 Z1.313678
N341 X7.701059 Y6.597665 Z1.317559
N342 X7.723743 Y6.617099 Z1.321440
N343 X7.746427 Y6.636533 Z1.325321
N344 X7.769111 Y6.655967 Z1.329202
N345 X7.794528 Y6.677742 Z1.333551
N346 X7.803000 Y6.685000 Z1.335000
N347 X7.803000 Y6.685000 Z1.335000
N348 X7.805840 Y6.679593 Z1.344448
N349 X7.814361 Y6.663372 Z1.372791
N350 X7.821989 Y6.648850 Z1.398166
N351 X7.829617 Y6.634328 Z1.423540
N352 X7.837245 Y6.619806 Z1.448915
N353 X7.844873 Y6.605284 Z1.474290
N354 X7.852501 Y6.590761 Z1.499664
N355 X7.860129 Y6.576239 Z1.525039
N356 X7.867757 Y6.561717 Z1.550414
N357 X7.875385 Y6.547195 Z1.575789
N358 X7.883013 Y6.532673 Z1.601163
N359 X7.890640 Y6.518151 Z1.626538
N360 X7.898268 Y6.503629 Z1.651913
N361 X7.905896 Y6.489107 Z1.677287
N362 X7.913524 Y6.474585 Z1.702662
N363 X7.921152 Y6.460063 Z1.728037
N364 X7.928780 Y6.445541 Z1.753411
N365 X7.936408 Y6.431018 Z1.778786
N366 X7.944036 Y6.416496 Z1.804161
N367 X7.951664 Y6.401974 Z1.829535
N368 X7.959292 Y6.387452 Z1.854910
N369 X7.966920 Y6.372930 Z1.880285
N370 X7.974548 Y6.358408 Z1.905659
N371 X7.982176 Y6.343886 Z1.931034
N372 X7.989804 Y6.329364 Z1.956409
N373 X7.997432 Y6.314842 Z1.981783
N374 X8.005060 Y6.300320 Z2.007158
N375 X8.012688 Y6.285798 Z2.032533
N376 X8.020316 Y6.271275 Z2.057908
N377 X8.027944 Y6.256753 Z2.083282
N378 X8.035572 Y6.242231 Z2.108657
N379 X8.043200 Y6.227709 Z2.134032
N380 X8.050828 Y6.213187 Z2.159406
N381 X8.058456 Y6.198665 Z2.184781
N382 X8.066084 Y6.184143 Z2.210156
N383 X8.073712 Y6.169621 Z2.235530
N384 X8.081340 Y6.155099 Z2.260905
N385 X8.088968 Y6.140577 Z2.286280
N386 X8.096596 Y6.126055 Z2.311654
N387 X8.104224 Y6.111532 Z2.337029
N388 X8.111852 Y6.097010 Z2.362404
N389 X8.119480 Y6.082488 Z2.387778
